<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Palladium;M;20181201;000000;2598.25;2836.58;2598.25;2836.58;0;0
Palladium;M;20190101;000000;2887.76;3021.87;2784.73;2856.16;0;0
Palladium;M;20190201;000000;2874.57;3287.48;2857.2;3287.48;0;0
Palladium;M;20190301;000000;3272.92;3304.59;2886.72;2886.72;0;0
Palladium;M;20190401;000000;2900.34;3032.47;2800.11;3032.47;0;0
Palladium;M;20190501;000000;2842.63;2854.67;2718.28;2800.75;0;0
Palladium;M;20190601;000000;2873.6;3112.87;2780.05;3112.87;0;0
Palladium;M;20190701;000000;3144.24;3242.53;3037.16;3152.3;0;0
Palladium;M;20190801;000000;3117.49;3206.54;2953.26;3206.54;0;0
Palladium;M;20190901;000000;3287.96;3450.45;3248.45;3427.52;0;0
Palladium;M;20191001;000000;3514.31;3694.04;3397.32;3665.63;0;0
Palladium;M;20191101;000000;3696.88;3790.9;3492.02;3790.9;0;0
Palladium;M;20191201;000000;3812.38;4000.83;3722.41;3795.53;0;0
Palladium;M;20200101;000000;3821.4;5084.65;3821.4;4600.49;0;0
Palladium;M;20200201;000000;4668.88;5907.89;4668.88;5907.89;0;0
Palladium;M;20200301;000000;5672.38;5923;3760.58;5923;0;0
Palladium;M;20200401;000000;5207.89;5315.72;4586.41;4638.83;0;0
Palladium;M;20200501;000000;4655.36;4809.59;4221.39;4369.75;0;0
Palladium;M;20200601;000000;4336.86;4408.93;4102.79;4216.85;0;0
Palladium;M;20200701;000000;4334.71;5274.28;4319.14;4917.85;0;0
Palladium;M;20200801;000000;4943.31;5282.82;4943.31;5231.29;0;0
Palladium;M;20200901;000000;5163.32;5802.74;5163.32;5802.74;0;0
Palladium;M;20201001;000000;5848.66;6067.12;5662.27;5677.62;0;0
Palladium;M;20201101;000000;5787.27;6098.86;5670.73;5829.09;0;0
Palladium;M;20201201;000000;5889.52;5889.52;5422.35;5422.35;0;0
