<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
D&J-IND;D;20101001;0;10829.6800000;0
D&J-IND;D;20101004;0;10751.2700000;0
D&J-IND;D;20101005;0;10944.7200000;0
D&J-IND;D;20101006;0;10967.6500000;0
D&J-IND;D;20101007;0;10948.5800000;0
D&J-IND;D;20101008;0;11006.4800000;0
D&J-IND;D;20101011;0;11010.3400000;0
D&J-IND;D;20101012;0;11020.4000000;0
D&J-IND;D;20101013;0;11096.0800000;0
D&J-IND;D;20101014;0;11094.5700000;0
D&J-IND;D;20101015;0;11062.7800000;0
D&J-IND;D;20101018;0;11143.6900000;0
D&J-IND;D;20101019;0;10978.6200000;0
D&J-IND;D;20101020;0;11107.9700000;0
D&J-IND;D;20101021;0;11146.5700000;0
D&J-IND;D;20101022;0;11132.5600000;0
D&J-IND;D;20101025;0;11164.0500000;0
D&J-IND;D;20101026;0;11169.4600000;0
D&J-IND;D;20101027;0;11126.2800000;0
D&J-IND;D;20101028;0;11113.9500000;0
D&J-IND;D;20101029;0;11118.4900000;0
D&J-IND;D;20101101;0;11124.6200000;0
D&J-IND;D;20101102;0;11188.7200000;0
D&J-IND;D;20101103;0;11215.1300000;0
D&J-IND;D;20101104;0;11434.8400000;0
D&J-IND;D;20101105;0;11444.0800000;0
D&J-IND;D;20101108;0;11406.8400000;0
D&J-IND;D;20101109;0;11346.7500000;0
D&J-IND;D;20101110;0;11357.0400000;0
D&J-IND;D;20101111;0;11283.1000000;0
D&J-IND;D;20101112;0;11192.5800000;0
D&J-IND;D;20101115;0;11201.9700000;0
D&J-IND;D;20101116;0;11023.5000000;0
D&J-IND;D;20101117;0;11007.8800000;0
D&J-IND;D;20101118;0;11181.2300000;0
D&J-IND;D;20101119;0;11203.5500000;0
D&J-IND;D;20101122;0;11178.5800000;0
D&J-IND;D;20101123;0;11036.3700000;0
D&J-IND;D;20101124;0;11187.2800000;0
D&J-IND;D;20101126;0;11092.0000000;0
D&J-IND;D;20101129;0;11052.4900000;0
D&J-IND;D;20101130;0;11006.0200000;0
D&J-IND;D;20101201;0;11255.7800000;0
D&J-IND;D;20101202;0;11362.4100000;0
D&J-IND;D;20101203;0;11381.6400000;0
D&J-IND;D;20101206;0;11362.1900000;0
D&J-IND;D;20101207;0;11359.1600000;0
D&J-IND;D;20101208;0;11372.4800000;0
D&J-IND;D;20101209;0;11370.0600000;0
D&J-IND;D;20101210;0;11410.3200000;0
D&J-IND;D;20101213;0;11428.5600000;0
D&J-IND;D;20101214;0;11476.5400000;0
D&J-IND;D;20101215;0;11457.4700000;0
D&J-IND;D;20101216;0;11499.2500000;0
D&J-IND;D;20101217;0;11491.9100000;0
