<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
FB-RM;60;20200824;230000;20115.0000000;20172.0000000;20095.0000000;20172.0000000;10
FB-RM;60;20200825;0;20500.0000000;20500.0000000;20500.0000000;20500.0000000;4
FB-RM;60;20200825;110000;20910.0000000;20910.0000000;20339.0000000;20465.0000000;49
FB-RM;60;20200825;120000;20465.0000000;20513.0000000;20350.0000000;20513.0000000;68
FB-RM;60;20200825;130000;20513.0000000;20521.0000000;20498.0000000;20518.0000000;20
FB-RM;60;20200825;140000;20510.0000000;20510.0000000;20436.0000000;20483.0000000;48
FB-RM;60;20200825;150000;20453.0000000;20462.0000000;20350.0000000;20420.0000000;45
FB-RM;60;20200825;160000;20443.0000000;20465.0000000;20422.0000000;20463.0000000;12
FB-RM;60;20200825;170000;20463.0000000;20611.0000000;20300.0000000;20513.0000000;43
FB-RM;60;20200825;180000;20540.0000000;20712.0000000;20540.0000000;20673.0000000;31
FB-RM;60;20200825;190000;20757.0000000;21066.0000000;20757.0000000;20979.0000000;89
FB-RM;60;20200825;200000;21007.0000000;21146.0000000;20965.0000000;21078.0000000;122
FB-RM;60;20200825;210000;21128.0000000;21285.0000000;21105.0000000;21150.0000000;50
FB-RM;60;20200825;220000;21270.0000000;21335.0000000;21214.0000000;21241.0000000;181
FB-RM;60;20200825;230000;21241.0000000;21260.0000000;21148.0000000;21148.0000000;30
FB-RM;60;20200826;0;20965.0000000;21275.0000000;20965.0000000;21275.0000000;17
FB-RM;60;20200826;110000;20850.0000000;21700.0000000;20850.0000000;21425.0000000;160
FB-RM;60;20200826;120000;21425.0000000;21527.0000000;21381.0000000;21513.0000000;110
FB-RM;60;20200826;130000;21511.0000000;21534.0000000;21363.0000000;21500.0000000;33
FB-RM;60;20200826;140000;21512.0000000;21599.0000000;21500.0000000;21550.0000000;69
FB-RM;60;20200826;150000;21550.0000000;21626.0000000;21376.0000000;21376.0000000;72
FB-RM;60;20200826;160000;21542.0000000;21559.0000000;21502.0000000;21524.0000000;65
FB-RM;60;20200826;170000;21589.0000000;21995.0000000;21589.0000000;21792.0000000;299
FB-RM;60;20200826;180000;21900.0000000;22574.0000000;21900.0000000;22531.0000000;373
FB-RM;60;20200826;190000;22601.0000000;22627.0000000;22299.0000000;22362.0000000;313
FB-RM;60;20200826;200000;22370.0000000;22400.0000000;22102.0000000;22400.0000000;61
FB-RM;60;20200826;210000;22445.0000000;22650.0000000;22362.0000000;22650.0000000;284
FB-RM;60;20200826;220000;22677.0000000;22893.0000000;22523.0000000;22523.0000000;225
FB-RM;60;20200826;230000;22500.0000000;23220.0000000;22406.0000000;23035.0000000;503
FB-RM;60;20200827;0;23012.0000000;23300.0000000;22670.0000000;23090.0000000;149
FB-RM;60;20200827;110000;22707.0000000;22904.0000000;22707.0000000;22850.0000000;119
FB-RM;60;20200827;120000;22850.0000000;22850.0000000;22693.0000000;22779.0000000;152
FB-RM;60;20200827;130000;22758.0000000;22792.0000000;22661.0000000;22775.0000000;79
FB-RM;60;20200827;140000;22690.0000000;22829.0000000;22657.0000000;22822.0000000;27
FB-RM;60;20200827;150000;22740.0000000;22870.0000000;22740.0000000;22809.0000000;42
FB-RM;60;20200827;160000;22797.0000000;22797.0000000;22580.0000000;22711.0000000;110
FB-RM;60;20200827;170000;22620.0000000;22647.0000000;22169.0000000;22313.0000000;186
FB-RM;60;20200827;180000;22282.0000000;22600.0000000;22260.0000000;22352.0000000;77
FB-RM;60;20200827;190000;22337.0000000;22461.0000000;22337.0000000;22340.0000000;111
FB-RM;60;20200827;200000;22460.0000000;22460.0000000;22056.0000000;22056.0000000;103
FB-RM;60;20200827;210000;22040.0000000;22131.0000000;21938.0000000;22086.0000000;180
FB-RM;60;20200827;220000;22100.0000000;22211.0000000;22100.0000000;22144.0000000;38
FB-RM;60;20200827;230000;22130.0000000;22179.0000000;22017.0000000;22017.0000000;87
FB-RM;60;20200828;0;22010.0000000;22100.0000000;22000.0000000;22100.0000000;16
FB-RM;60;20200828;110000;22133.0000000;22133.0000000;21930.0000000;21999.0000000;123
FB-RM;60;20200828;120000;21886.0000000;21909.0000000;21750.0000000;21875.0000000;107
FB-RM;60;20200828;130000;21835.0000000;21875.0000000;21689.0000000;21875.0000000;78
FB-RM;60;20200828;140000;21813.0000000;21915.0000000;21732.0000000;21802.0000000;102
FB-RM;60;20200828;150000;21865.0000000;21902.0000000;21840.0000000;21880.0000000;20
FB-RM;60;20200828;160000;21870.0000000;21870.0000000;21870.0000000;21870.0000000;1
FB-RM;60;20200828;170000;21870.0000000;22040.0000000;21830.0000000;21874.0000000;47
FB-RM;60;20200828;180000;21936.0000000;21947.0000000;21700.0000000;21726.0000000;159
FB-RM;60;20200828;190000;21689.0000000;21916.0000000;21689.0000000;21916.0000000;60
FB-RM;60;20200828;200000;21753.0000000;21753.0000000;21731.0000000;21731.0000000;3
FB-RM;60;20200828;210000;21700.0000000;21702.0000000;21645.0000000;21670.0000000;22
FB-RM;60;20200828;220000;21670.0000000;21688.0000000;21597.0000000;21597.0000000;9
FB-RM;60;20200828;230000;21664.0000000;21751.0000000;21634.0000000;21751.0000000;17
FB-RM;60;20200829;0;21880.0000000;22123.0000000;21880.0000000;22123.0000000;3
FB-RM;60;20200831;110000;21989.0000000;22005.0000000;21919.0000000;21923.0000000;27
FB-RM;60;20200831;120000;21792.0000000;21989.0000000;21763.0000000;21982.0000000;164
FB-RM;60;20200831;130000;21982.0000000;22005.0000000;21902.0000000;22005.0000000;101
FB-RM;60;20200831;140000;22005.0000000;22033.0000000;22005.0000000;22033.0000000;12
FB-RM;60;20200831;150000;22001.0000000;22016.0000000;21915.0000000;22016.0000000;8
FB-RM;60;20200831;160000;21994.0000000;22003.0000000;21805.0000000;21805.0000000;22
FB-RM;60;20200831;170000;21852.0000000;21899.0000000;21690.0000000;21867.0000000;36
FB-RM;60;20200831;180000;21867.0000000;22000.0000000;21714.0000000;22000.0000000;30
FB-RM;60;20200831;190000;21700.0000000;22134.0000000;21700.0000000;22134.0000000;93
FB-RM;60;20200831;200000;22130.0000000;22130.0000000;21701.0000000;22120.0000000;7
FB-RM;60;20200831;210000;21752.0000000;21959.0000000;21752.0000000;21908.0000000;40
FB-RM;60;20200831;220000;21879.0000000;21911.0000000;21850.0000000;21850.0000000;30
FB-RM;60;20200831;230000;21802.0000000;21933.0000000;21802.0000000;21802.0000000;19
FB-RM;60;20200901;0;22000.0000000;22000.0000000;22000.0000000;22000.0000000;7
FB-RM;60;20200901;110000;21560.0000000;21900.0000000;21560.0000000;21749.0000000;58
FB-RM;60;20200901;120000;21749.0000000;21835.0000000;21739.0000000;21753.0000000;136
FB-RM;60;20200901;130000;21859.0000000;21907.0000000;21859.0000000;21898.0000000;34
FB-RM;60;20200901;140000;21920.0000000;21950.0000000;21920.0000000;21921.0000000;26
FB-RM;60;20200901;150000;21850.0000000;21852.0000000;21821.0000000;21821.0000000;14
FB-RM;60;20200901;160000;21821.0000000;21853.0000000;21800.0000000;21821.0000000;36
FB-RM;60;20200901;170000;21753.0000000;21762.0000000;21600.0000000;21762.0000000;47
FB-RM;60;20200901;180000;21860.0000000;22100.0000000;21860.0000000;21895.0000000;29
FB-RM;60;20200901;190000;21899.0000000;21899.0000000;21794.0000000;21845.0000000;6
FB-RM;60;20200901;200000;21801.0000000;21801.0000000;21801.0000000;21801.0000000;2
FB-RM;60;20200901;210000;21890.0000000;21932.0000000;21890.0000000;21932.0000000;2
FB-RM;60;20200901;220000;21822.0000000;21894.0000000;21822.0000000;21894.0000000;3
FB-RM;60;20200901;230000;21907.0000000;21920.0000000;21790.0000000;21790.0000000;23
FB-RM;60;20200902;110000;21925.0000000;22227.0000000;21920.0000000;22171.0000000;31
FB-RM;60;20200902;120000;22071.0000000;22103.0000000;22000.0000000;22098.0000000;53
FB-RM;60;20200902;130000;22099.0000000;22150.0000000;22063.0000000;22150.0000000;34
FB-RM;60;20200902;140000;22150.0000000;22150.0000000;22101.0000000;22150.0000000;7
FB-RM;60;20200902;150000;22150.0000000;22150.0000000;22140.0000000;22150.0000000;29
FB-RM;60;20200902;160000;22150.0000000;22181.0000000;22141.0000000;22154.0000000;60
FB-RM;60;20200902;170000;22184.0000000;22439.0000000;22063.0000000;22196.0000000;188
FB-RM;60;20200902;180000;22349.0000000;22550.0000000;22196.0000000;22536.0000000;153
FB-RM;60;20200902;190000;22538.0000000;22538.0000000;22169.0000000;22270.0000000;188
FB-RM;60;20200902;200000;22390.0000000;22529.0000000;22318.0000000;22523.0000000;81
FB-RM;60;20200902;210000;22523.0000000;22743.0000000;22523.0000000;22601.0000000;84
FB-RM;60;20200902;220000;22600.0000000;22739.0000000;22595.0000000;22684.0000000;146
FB-RM;60;20200902;230000;22682.0000000;22875.0000000;22662.0000000;22755.0000000;235
FB-RM;60;20200903;0;22743.0000000;22800.0000000;22450.0000000;22450.0000000;24
FB-RM;60;20200903;110000;22801.0000000;23358.0000000;22528.0000000;22620.0000000;245
FB-RM;60;20200903;120000;22739.0000000;22774.0000000;22620.0000000;22731.0000000;69
