05-Информатика и ИКТ;;;;;;;;;;
;;;;;;;;;;
№;school;grade;sex;variant;short;long;speaking;initial;final;min
1;148;13;М;505;-----------------------;0(3)0(2)0(3)0(4);;0;0;40
2;147;11;М;328;-----------------------;0(3)0(2)0(3)0(4);;0;0;40
3;111;11;М;330;---+---+-+-------------;0(3)0(2)0(3)0(4);;3;20;40
4;140;11;М;328;---+---------++--------;0(3)0(2)0(3)0(4);;3;20;40
5;148;11;М;328;----+---------+-----+--;0(3)0(2)0(3)0(4);;3;20;40
6;148;11М;М;333;-------+-----+--+------;0(3)0(2)0(3)0(4);;3;20;40
7;148;11;М;328;+-----++---------------;0(3)0(2)0(3)0(4);;3;20;40
8;137;11;М;330;--+++---------+--------;0(3)0(2)0(3)0(4);;4;27;40
9;137;11;М;332;--+---+-------++-------;0(3)0(2)0(3)0(4);;4;27;40
10;140;11;Ж;330;-+----+------+-+-------;0(3)0(2)0(3)0(4);;4;27;40
11;140;11;М;328;+--+--++---------------;0(3)0(2)0(3)0(4);;4;27;40
12;148;11;М;332;+----+++---------------;0(3)0(2)0(3)0(4);;4;27;40
13;148;11;М;329;--+-+++--------+-------;0(3)0(2)0(3)0(4);;5;34;40
14;148;11;М;330;+--+--++-----+---------;0(3)0(2)0(3)0(4);;5;34;40
15;147;11;М;332;+-+---++-----+---------;0(3)0(2)0(3)0(4);;5;34;40
16;148;13;Ж;504;+--++-+-+--------------;0(3)0(2)0(3)0(4);;5;34;40
17;148;11А;М;330;-++------+---++------+-;0(3)0(2)0(3)0(4);;6;40;40
18;111;11;М;329;-+++---+-+-------++----;0(3)0(2)0(3)0(4);;7;42;40
19;148;11;М;329;+-+---+--+---+----+----;0(3)0(2)1(3)0(4);;7;42;40
20;148;11;М;329;+-+--+++-----+----+----;0(3)0(2)0(3)0(4);;7;42;40
21;148;11;М;328;+--++-++--+--+---------;0(3)0(2)0(3)0(4);;7;42;40
22;148;11;М;333;-+-++-++---+--+--------;0(3)0(2)0(3)0(4);;7;42;40
23;148;11А;Ж;331;---+-----+---++++------;2(3)0(2)0(3)0(4);;8;44;40
24;144;11;М;328;++++--++----++---------;1(3)0(2)0(3)0(4);;9;46;40
25;144;11;М;332;+++++++------++--------;0(3)0(2)0(3)0(4);;9;46;40
26;126;11;М;333;-+++--++----+--++-+----;0(3)0(2)0(3)0(4);;9;46;40
27;140;11;М;329;+-+-++++---+++---------;0(3)0(2)0(3)0(4);;9;46;40
28;148;11;М;329;+----+++------+---+----;1(3)1(2)0(3)1(4);;9;46;40
29;144;11А;Ж;331;+-++-+++-+----+-+------;0(3)0(2)0(3)0(4);;9;46;40
30;147;11;М;331;+++--+++-----++--+-----;0(3)0(2)1(3)0(4);;10;48;40
31;140;11;М;331;+-+++-+++-----+-+------;1(3)0(2)0(3)0(4);;10;48;40
32;153;11;М;601;+-++++++-+--+-+--------;0(3)0(2)0(3)0(4);;10;48;40
33;148;11;М;333;+-+---++-+------++-----;2(3)0(2)1(3)0(4);;10;48;40
34;148;11;М;332;++++--++++----+---+----;0(3)0(2)0(3)0(4);;10;48;40
35;144;11А;М;333;+-++--++---+-+-++---+--;0(3)0(2)0(3)0(4);;10;48;40
