Date;Liabilities/Debt,%;Age;Type_of_accommodation;Duration_of_stay_in_the_region;Family_status;Borrower class;Education;Work_experience_in_last_place;Job_level;Credit_history
02.03.2018;51;26;Муниципальное жилье;менее 1 года;Другое;плохой;высшее;менее 1 года;сотрудник;нет данных
02.03.2018;46;32;Собственник;от 1 до 5 лет;Женат/замужем;хороший;высшее;свыше 3 лет;сотрудник;положительная
02.03.2018;13;36;Аренда;свыше 5 лет;Холост/Не замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
02.03.2018;48;52;Муниципальное жилье;от 1 до 5 лет;Другое;плохой;высшее;менее 1 года;сотрудник;нет данных
02.03.2018;33;30;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
02.03.2018;30;33;Собственник;менее 1 года;Женат/замужем;плохой;среднее специальное;менее 1 года;руководитель среднего звена;отрицательная
02.03.2018;42;27;Собственник;от 1 до 5 лет;Другое;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
02.03.2018;20;47;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;среднее специальное;менее 1 года;руководитель высшего звена;нет данных
02.03.2018;36;40;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;руководитель высшего звена;положительная
02.03.2018;29;34;Собственник;от 1 до 5 лет;Другое;хороший;высшее;менее 1 года;руководитель среднего звена;нет данных
02.03.2018;15;58;Собственник;от 1 до 5 лет;Другое;плохой;среднее;от 1 года до 3 лет;сотрудник;отрицательная
02.03.2018;13;31;Собственник;менее 1 года;Другое;хороший;высшее;свыше 3 лет;руководитель среднего звена;положительная
02.03.2018;42;42;Муниципальное жилье;свыше 5 лет;Женат/замужем;хороший;среднее специальное;свыше 3 лет;руководитель среднего звена;нет данных
02.03.2018;34;40;Собственник;свыше 5 лет;Женат/замужем;плохой;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
02.03.2018;26;40;Муниципальное жилье;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;положительная
02.03.2018;40;32;Муниципальное жилье;от 1 до 5 лет;Холост/Не замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;положительная
03.03.2018;34;44;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;свыше 3 лет;сотрудник;нет данных
03.03.2018;18;51;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
03.03.2018;35;41;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее;свыше 3 лет;сотрудник;нет данных
03.03.2018;26;29;Муниципальное жилье;свыше 5 лет;Другое;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
