№;school;grade;sex;variant;short;entire;speaking;initial;final;min
1;124;11;Ж;341;------+-----;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;1;5;27
2;128;11;Ж;345;-+----------;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;1;5;27
3;132;11;Ж;340;-+----------;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;1;5;27
4;134;11;Ж;339;-+----------;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;1;5;27
5;136;11;Ж;348;--------+---;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;1;5;27
6;136;11;М;342;+-----------;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;1;5;27
7;136;11;М;341;+-----------;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;1;5;27
8;124;11;Ж;339;----+---+---;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;2;9;27
9;127;11;М;341;+-----+-----;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;2;9;27
10;127;11;Ж;343;-+-+--------;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;2;9;27
11;128;11;М;340;-----++-----;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;2;9;27
12;130;13;М;105;-+-----+----;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;2;9;27
13;131;11;Ж;337;----+---+---;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;2;9;27
14;132;11;М;340;--+-----+---;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;2;9;27
15;132;13;Ж;104;-+---+------;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;2;9;27
16;135;12;М;339;++----------;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;2;9;27
17;136;13;М;506;-+----+-----;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;2;9;27
18;136;11;М;340;-+-+--------;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;2;9;27
19;136;13;М;105;-+--------+-;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;2;9;27
20;136;13;М;346;--------+-+-;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;2;9;27
21;121;11;Ж;345;-----++-+---;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;3;14;27
22;121;13;М;506;+++---------;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;3;14;27
23;123;11;Ж;343;++------+---;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;3;14;27
24;123;11;М;343;-+------+-+-;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;3;14;27
25;124;11;Ж;342;---+++------;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;3;14;27
26;127;11;Ж;343;-+-+----+---;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;3;14;27
27;128;11;Ж;345;-+------+-+-;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;3;14;27
28;128;13;М;106;++--+-------;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;3;14;27
29;128;11;Ж;337;-+-++-------;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;3;14;27
30;128;11;Ж;346;++------+---;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;3;14;27
