<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
MVID;D;20101001;0;194.3800000;19406
MVID;D;20101004;0;190.0000000;31039
MVID;D;20101005;0;187.0000000;17651
MVID;D;20101006;0;190.0400000;36482
MVID;D;20101007;0;199.8500000;204248
MVID;D;20101008;0;197.7100000;116703
MVID;D;20101011;0;206.0000000;180556
MVID;D;20101012;0;202.5000000;89171
MVID;D;20101013;0;205.5200000;32463
MVID;D;20101014;0;204.6000000;12447
MVID;D;20101015;0;211.0000000;50667
MVID;D;20101018;0;214.0000000;35576
MVID;D;20101019;0;213.0000000;22932
MVID;D;20101020;0;218.7600000;61753
MVID;D;20101021;0;220.0000000;85430
MVID;D;20101022;0;218.6800000;76498
MVID;D;20101025;0;219.9700000;16848
MVID;D;20101026;0;222.0000000;347582
MVID;D;20101027;0;231.0000000;73612
MVID;D;20101028;0;238.0500000;63108
MVID;D;20101029;0;237.4700000;17163
MVID;D;20101101;0;236.0000000;12831
MVID;D;20101102;0;237.0100000;8677
MVID;D;20101103;0;234.3000000;7891
MVID;D;20101108;0;232.9600000;26541
MVID;D;20101109;0;233.5600000;9702
MVID;D;20101110;0;225.0000000;57333
MVID;D;20101111;0;227.5000000;55265
MVID;D;20101112;0;222.0000000;16013
MVID;D;20101113;0;225.9600000;4422
MVID;D;20101115;0;222.8000000;24550
MVID;D;20101116;0;227.0000000;38448
MVID;D;20101117;0;229.1600000;55534
MVID;D;20101118;0;236.0000000;72709
MVID;D;20101119;0;246.2800000;75495
MVID;D;20101122;0;247.5000000;29871
MVID;D;20101123;0;247.3000000;16777
MVID;D;20101124;0;250.0200000;84274
MVID;D;20101125;0;255.0000000;52862
MVID;D;20101126;0;258.0000000;20897
MVID;D;20101129;0;254.0000000;88014
MVID;D;20101130;0;257.6800000;10821
MVID;D;20101201;0;258.8900000;77180
MVID;D;20101202;0;267.0000000;71749
MVID;D;20101203;0;267.2400000;28910
MVID;D;20101206;0;268.4900000;9742
MVID;D;20101207;0;271.0500000;24758
MVID;D;20101208;0;279.9900000;99292
MVID;D;20101209;0;278.6200000;34459
MVID;D;20101210;0;281.5000000;21826
MVID;D;20101213;0;278.9000000;44658
MVID;D;20101214;0;276.7500000;28347
MVID;D;20101215;0;275.5000000;25534
MVID;D;20101216;0;271.9900000;115858
MVID;D;20101217;0;270.0000000;35421
MVID;D;20101220;0;267.9900000;120661
MVID;D;20101221;0;267.0000000;12541
MVID;D;20101222;0;268.0000000;324333
MVID;D;20101223;0;268.1400000;26911
MVID;D;20101224;0;267.5000000;76349
MVID;D;20101227;0;263.5000000;26214
MVID;D;20101228;0;264.5000000;74782
MVID;D;20101229;0;267.4900000;183129
MVID;D;20101230;0;266.7500000;168177
MVID;D;20110111;0;267.9900000;36955
MVID;D;20110112;0;265.5000000;198603
MVID;D;20110113;0;262.4000000;207637
MVID;D;20110114;0;261.7500000;15001
MVID;D;20110117;0;261.7500000;40519
MVID;D;20110118;0;260.0000000;194826
