<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TWTR-RM;60;20200824;230000;3005.0000000;3029.0000000;3005.0000000;3029.0000000;17
TWTR-RM;60;20200825;0;3030.0000000;3030.0000000;3015.0000000;3030.0000000;34
TWTR-RM;60;20200825;110000;3043.0000000;3051.0000000;3040.0000000;3051.0000000;320
TWTR-RM;60;20200825;120000;3049.0000000;3057.0000000;3014.0000000;3053.0000000;423
TWTR-RM;60;20200825;130000;3053.0000000;3053.0000000;3045.0000000;3051.0000000;29
TWTR-RM;60;20200825;140000;3050.0000000;3055.0000000;3046.0000000;3055.0000000;115
TWTR-RM;60;20200825;150000;3054.0000000;3054.0000000;3034.0000000;3035.0000000;78
TWTR-RM;60;20200825;160000;3037.0000000;3038.0000000;3020.0000000;3036.0000000;1045
TWTR-RM;60;20200825;170000;3034.0000000;3034.0000000;2968.0000000;2968.0000000;496
TWTR-RM;60;20200825;180000;2970.0000000;2996.0000000;2958.0000000;2992.0000000;317
TWTR-RM;60;20200825;190000;2994.0000000;3018.0000000;2993.0000000;3018.0000000;408
TWTR-RM;60;20200825;200000;3019.0000000;3048.0000000;3014.0000000;3032.0000000;133
TWTR-RM;60;20200825;210000;3032.0000000;3052.0000000;3032.0000000;3047.0000000;40
TWTR-RM;60;20200825;220000;3042.0000000;3050.0000000;3042.0000000;3046.0000000;27
TWTR-RM;60;20200825;230000;3051.0000000;3061.0000000;3051.0000000;3053.0000000;141
TWTR-RM;60;20200826;0;3056.0000000;3064.0000000;3050.0000000;3050.0000000;23
TWTR-RM;60;20200826;110000;3100.0000000;3111.0000000;3050.0000000;3072.0000000;255
TWTR-RM;60;20200826;120000;3078.0000000;3093.0000000;3078.0000000;3087.0000000;392
TWTR-RM;60;20200826;130000;3087.0000000;3100.0000000;3078.0000000;3100.0000000;41
TWTR-RM;60;20200826;140000;3100.0000000;3111.0000000;3090.0000000;3090.0000000;218
TWTR-RM;60;20200826;150000;3082.0000000;3094.0000000;3070.0000000;3089.0000000;332
TWTR-RM;60;20200826;160000;3090.0000000;3090.0000000;3052.0000000;3080.0000000;206
